Ping,IP,Hostname,Ports,MAC Address
3 ms,192.168.2.219,p80010493E8286.Dutro.local,[n/a],00:10:49:3E:82:86
[n/a],192.168.2.220,[n/s],[n/s],[n/s]
[n/a],192.168.2.221,[n/s],[n/s],[n/s]
[n/a],192.168.2.222,[n/s],[n/s],[n/s]
2 ms,192.168.2.223,ND011910051514.local,80,00:1F:54:40:F8:95
[n/a],192.168.2.224,[n/s],[n/s],[n/s]
4 ms,192.168.2.225,DTC-811.Dutro.local,[n/a],B0:83:FE:70:A9:6A
5 ms,192.168.2.226,E581CBB.Dutro.local,80,00:1F:54:40:F9:50
2 ms,192.168.2.227,p800104941A558.Dutro.local,[n/a],00:10:49:41:A5:58
[n/a],192.168.2.228,[n/s],[n/s],[n/s]
2 ms,192.168.2.229,ND011910051421.local,80,00:1F:54:40:F8:38
1 ms,192.168.2.230,ND021908020296.local,80,00:1F:54:3C:A6:42
[n/a],192.168.2.231,[n/s],[n/s],[n/s]
[n/a],192.168.2.232,[n/s],[n/s],[n/s]
2 ms,192.168.2.233,ND011910051522.local,80,00:1F:54:40:F8:9D
[n/a],192.168.2.234,[n/s],[n/s],[n/s]
[n/a],192.168.2.235,[n/s],[n/s],[n/s]
5 ms,192.168.2.236,p800104941A582.Dutro.local,[n/a],00:10:49:41:A5:82
[n/a],192.168.2.237,[n/s],[n/s],[n/s]
[n/a],192.168.2.238,[n/s],[n/s],[n/s]
2 ms,192.168.2.239,ND011910051529.local,80,00:1F:54:40:F8:A4
1 ms,192.168.2.240,ND011910051524.local,80,00:1F:54:40:F8:9F
2 ms,192.168.2.241,ND021908020281.local,80,00:1F:54:3C:A6:33
3 ms,192.168.2.242,ND011910051518.local,80,00:1F:54:40:F8:99
[n/a],192.168.2.243,[n/s],[n/s],[n/s]
[n/a],192.168.2.244,[n/s],[n/s],[n/s]
122 ms,192.168.2.245,[n/a],80,28:84:FA:19:7E:9C
[n/a],192.168.2.246,[n/s],[n/s],[n/s]
[n/a],192.168.2.247,[n/s],[n/s],[n/s]
2 ms,192.168.2.248,BARCODE-806.Dutro.local,[n/a],78:45:C4:38:0C:B9
[n/a],192.168.2.249,[n/s],[n/s],[n/s]
[n/a],192.168.2.250,[n/s],[n/s],[n/s]
[n/a],192.168.2.251,[n/s],[n/s],[n/s]
[n/a],192.168.2.252,[n/s],[n/s],[n/s]
[n/a],192.168.2.253,[n/s],[n/s],[n/s]
[n/a],192.168.2.254,[n/s],[n/s],[n/s]
